id,sportId,locationId,league-aa,league-de,league-en,league-es,league-fr,league-ja,league-ko,league-pt,league-ru,league-th,league-tr,league-vi,league-zh
14822,23,44,"Hungarian International, Women, Doubles","Hungarian International, Women, Doubles","Hungarian International, Women, Doubles","Hungarian International, Women, Doubles","Hungarian International, Women, Doubles","Hungarian International, Women, Doubles","Hungarian International, Women, Doubles","Hungarian International, Women, Doubles","Hungarian International, Women, Doubles","Hungarian International, Women, Doubles","Hungarian International, Women, Doubles","Giải vô địch Hungarian International, Đôi Nữ","Hungarian International, Women, Doubles"
25876,23,44,"Dutch International, Women, Singles","Dutch International, Women, Singles","Dutch International, Women, Singles","Int Alemán Victor,(IC),F","Dutch International, Women, Singles","Dutch International, Women, Singles","Dutch International, Women, Singles","Int. Victor Holanda, F","Dutch International, Women, Singles","Dutch International, Women, Singles","Dutch International, Women, Singles","Hà Lan International, Đơn Nữ","Dutch International, Women, Singles"
25889,23,44,"Dutch International, Doubles","Dutch International, Doubles","Dutch International, Doubles","Int Alemán Victor,(IC),D","Dutch International, Doubles","Dutch International, Doubles","Dutch International, Doubles","Int. Victor Holanda, P","Dutch International, Doubles","Dutch International, Doubles","Dutch International, Doubles","Hà Lan International, Đôi Nam","Dutch International, Doubles"
6147,23,44,,Internacional Mexicano (Is) 2017,Internacional Mexicano (Is) 2017,Internacional Mexicano (Is) 2017,Internacional Mexicano (Is) 2017,Internacional Mexicano (Is) 2017,Internacional Mexicano (Is) 2017,Internacional Mexicano (Is) 2017,Internacional Mexicano (Is) 2017,Internacional Mexicano (Is) 2017,Internacional Mexicano (Is) 2017,Internacional Mexicano (Is) 2017,Internacional Mexicano (Is) 2017
132430,23,44,,,,,,,,,,,,,
75534,23,44,,,,,,,,,,,,,
82411,23,44,,,,,,,,,,,,,
8535,23,44,,"Spain Masters, Doubles","Spain Masters, Doubles","Spain Masters, Doubles","Spain Masters, Doubles","Spain Masters, Doubles","Spain Masters, Doubles","Spain Masters, Doubles","Spain Masters, Doubles","Spain Masters, Doubles","Spain Masters, Doubles","Tây Ban Nha Masters, Đôi Nam","Spain Masters, Doubles"
81596,23,44,,,,,,,,,,,,,
15336,23,44,"Indonesia Masters , Women Singles","Indonesia Masters , Women Singles","Indonesia Masters , Women Singles","Indonesia Masters , Women Singles","Indonesia Masters , Women Singles","Indonesia Masters , Women Singles","Indonesia Masters , Women Singles","Indonesia Masters , Women Singles","Indonesia Masters , Women Singles","Indonesia Masters , Women Singles","Indonesia Masters , Women Singles","Indonesia Masters , Women Singles","Indonesia Masters , Women Singles"
11264,23,44,"Latvia International, Women, Singles","Latvia International, Women, Singles","Latvia International, Women, Singles","Latvia International, Women, Singles","Latvia International, Women, Singles","Latvia International, Women, Singles","Latvia International, Women, Singles","Latvia International, Women, Singles","Latvia International, Women, Singles","Latvia International, Women, Singles","Latvia International, Women, Singles","Latvia International, Đơn Nữ","Latvia International, Women, Singles"
31370,23,44,,,,,,,,,,,,,
24163,23,44,"Swiss Open, Women, Doubles","Swiss Open, Women, Doubles","Swiss Open, Women, Doubles","Open Suiza (WT), Dob Fem","Swiss Open, Women, Doubles","Swiss Open, Women, Doubles","Swiss Open, Women, Doubles","Open Suiça (WT), PF","Swiss Open, Women, Doubles","Swiss Open, Women, Doubles","Swiss Open, Women, Doubles","Thụy Sĩ mở rộng, Đôi Nữ","Swiss Open, Women, Doubles"
14307,23,44,"French Open, Women Singles","French Open, Women Singles","French Open, Women Singles","Open de Francia (SS), Ind F","Open de France (SS), Simple Dames","French Open, Women Singles","프랑스 오픈 (SS), 여자 단식","Open de França (SS), Singulares Feminino","Открытый Чемпионат Франции, Женщины Одиночный","French Open, Women Singles","French Open, Women Singles","Pháp Mở Rộng (SS), Đơn Nữ","French Open, Women Singles"
4261,23,44,,"Armenia Infinity Cup, Mixed Doubles	","Armenia Infinity Cup, Mixed Doubles","Armenia Infinity Cup, Mixed Doubles	","Armenia Infinity Cup, Mixed Doubles	","Armenia Infinity Cup, Mixed Doubles	","Armenia Infinity Cup, Mixed Doubles	","Armenia Infinity Cup, Mixed Doubles	","Armenia Infinity Cup, Mixed Doubles	","Armenia Infinity Cup, Mixed Doubles	","Armenia Infinity Cup, Mixed Doubles	","Armenia Infinity Cup, Mixed Doubles	","Armenia Infinity Cup, Mixed Doubles	"
11820,23,44,"Hellas International, Women, Doubles","Hellas International, Women, Doubles","Hellas International, Women, Doubles","Hellas International, Women, Doubles","Hellas International, Women, Doubles","Hellas International, Women, Doubles","Hellas International, Women, Doubles","Hellas International, Women, Doubles","Hellas International, Women, Doubles","Hellas International, Women, Doubles","Hellas International, Women, Doubles","Hellas International, Đôi Nữ","Hellas International, Women, Doubles"
6382,23,44,,"Yonex Thailand Open 2021, Doubles","Yonex Thailand Open 2021, Doubles","Yonex Thailand Open, Dobles","Open de Thaïlande, Doubles","ヨネックス タイ オープン 2021, ダブルス","요넥스 태국 오픈 2021, 복식","Open Yonex da Tailãndia, Pares","Открытый чемпионат Тайланда Yonex 2021, Пары","โยเน็กซ์ ไทยเเลนด์ โอเพน 2021, คู่","Yonex Thailand Open, Çiftler","Yonex Thái Lan Mở Rộng, Đánh Đôi","Yonex Thailand Open 2021, Doubles"
37780,23,44,,,,,,,,,,,,,
14402,23,44,"All Africa Individual Championships, W, Singles","All Africa Individual Championships, W, Singles","All Africa Individual Championships, W, Singles","Campeonatos All Africa Individual, Indiv. Fem.","All Africa Individual Championships, W, Singles","All Africa Individual Championships, W, Singles","All Africa Individual Championships, W, Singles","All Africa Individual Championships, W, Singles","All Africa Individual Championships, W, Singles","All Africa Individual Championships, W, Singles","All Africa Individual Championships, W, Singles","Giải Vô Địch Cá Nhân Toàn Châu Phi, Đơn Nữ","All Africa Individual Championships, W, Singles"
