id,name,sportId,sportName,groupId,groupName,isMultilineMarket,isFreeText
3108239,DRAW_NO_BET_2ND_HALF,21,Futsal,,,False,False
293993,First Team To Score,21,Futsal,6.0,Goals,False,False
2698122,FIRST_HALF_BOTH_TEAMS_TO_SCORE,21,Futsal,,,False,False
47,Handicap,21,Futsal,1.0,Main,True,False
25,Handicap {hcp},21,Futsal,1.0,Main,False,False
2235022,HT/FT,21,Futsal,34.0,Half Markets,False,False
83,Odd/even,21,Futsal,398.0,Odd/Even,False,False
309252,Race To,21,Futsal,6.0,Goals,True,False
4329871,SECOND_HALF_BOTH_TEAMS_TO_SCORE,21,Futsal,,,False,False
66,Total,21,Futsal,1.0,Main,True,False
4329899,TOTAL_GOALS_AWAY,21,Futsal,,,False,False
7577,Which team wins the rest of the match,21,Futsal,1.0,Main,False,False
3985891,World Cup 2024 - Group A - Winner,21,Futsal,,,False,False
3985892,World Cup 2024 - Group B - Winner,21,Futsal,,,False,False
3985890,World Cup 2024 - Group C - Winner,21,Futsal,,,False,False
3985889,World Cup 2024 - Group D - Winner,21,Futsal,,,False,False
3985887,World Cup 2024 - Group E - Winner,21,Futsal,,,False,False
3985888,World Cup 2024 - Group F - Winner,21,Futsal,,,False,False
4116433,How the bout will be won,1447,Muay Thai,,,False,False
28169,Winner,1447,Muay Thai,1.0,Main,False,False
1,1x2,13,Beach Soccer,1.0,Main,False,False
333194,Asian Total,13,Beach Soccer,1.0,Main,True,False
824923,EVW,459,Harness,,,False,False
2529109,EX_EXA,459,Harness,,,False,False
2529113,EX_QNL,459,Harness,,,False,False
2529115,EX_TRI,459,Harness,,,False,False
894464,FX_MW,459,Harness,234.0,MW,False,False
900828,FX_MW_PLC,459,Harness,234.0,MW,False,False
900831,FX_MW_SHW,459,Harness,234.0,MW,False,False
702083,FX_V2,459,Harness,233.0,V2,False,False
702084,FX_V2_PLC,459,Harness,233.0,V2,False,False
702085,FX_V2_SHW,459,Harness,233.0,V2,False,False
3095836,pgi_aus_vic_EXA,459,Harness,,,False,False
3095873,pgi_aus_vic_QNL,459,Harness,,,False,False
3095837,pgi_aus_vic_SFC,459,Harness,,,False,False
3095879,pgi_aus_vic_TRI,459,Harness,,,False,False
3095880,pgi_eur_QNL,459,Harness,,,False,False
825054,PLC,459,Harness,,,False,False
705259,PLC FX,459,Harness,235.0,TAB,False,False
2690269,tab_nsw_EXA,459,Harness,,,False,False
2690274,tab_nsw_QNL,459,Harness,,,False,False
2690280,tab_nsw_SFC,459,Harness,,,False,False
2690320,tab_nsw_TRI,459,Harness,,,False,False
3095881,tab_vic_EXA,459,Harness,,,False,False
3095885,tab_vic_QNL,459,Harness,,,False,False
3095870,tab_vic_SFC,459,Harness,,,False,False
3095869,tab_vic_TRI,459,Harness,,,False,False
825051,WIN,459,Harness,,,False,False
699840,WIN FX,459,Harness,235.0,TAB,False,False
3737032,Esports World Cup 2024 - To Reach the Final,61,Rocket League,,,False,False
3737031,Esports World Cup 2024 - Winner,61,Rocket League,,,False,False
4465601,FIFAe World Cup 2024 - Group A - Winner,61,Rocket League,,,False,False
4465602,FIFAe World Cup 2024 - Group B - Winner,61,Rocket League,,,False,False
4465603,FIFAe World Cup 2024 - To Reach the Final,61,Rocket League,,,False,False
4465600,FIFAe World Cup 2024 - Winner,61,Rocket League,,,False,False
3289802,RLCS Major 1 2024 - Top 2,61,Rocket League,,,False,False
3276374,RLCS Major 1 2024 - Winner,61,Rocket League,,,False,False
3290052,RLCS Major 1 2024 - Winning Region,61,Rocket League,,,False,False
28169,Winner,61,Rocket League,1.0,Main,False,False
3988188,Chestnut Total Hot Dogs Eaten In 10 Minutes,1381,Entertainment,,,False,False
3988190,Kobayashi Total Hot Dogs Eaten In 10 Minutes,1381,Entertainment,,,False,False
3988193,Total Combined Hot Dogs Eaten,1381,Entertainment,,,False,False
3997147,Will Joey Chestnut Beat His Record of 76 Hot Dogs?,1381,Entertainment,,,False,False
28169,Winner,1381,Entertainment,1.0,Main,False,False
3997149,Winning Margin,1381,Entertainment,,,False,False
28363,Head2head,29,Motorsport,,,False,False
37184,{!gamenr} game - odd/even,41,Squash,29.0,Quarter Markets,False,False
37176,{!gamenr} game - point handicap,41,Squash,29.0,Quarter Markets,True,False
37180,{!gamenr} game - total points,41,Squash,29.0,Quarter Markets,True,False
37171,{!gamenr} game - winner,41,Squash,29.0,Quarter Markets,False,False
1558111,12,41,Squash,1.0,Main,False,False
7574,Correct score,41,Squash,1.0,Main,False,False
37170,Exact games,41,Squash,29.0,Quarter Markets,False,False
37169,How many games will be decided by extra points,41,Squash,11.0,Special,False,False
83,Odd/even,41,Squash,398.0,Odd/Even,False,False
28779,Point handicap,41,Squash,1.0,Main,True,False
28599,Total points,41,Squash,1.0,Main,True,False
28169,Winner,41,Squash,1.0,Main,False,False
31498,{!setnr} set - {$competitor1} total,33,Bowls,,,True,False
31501,{!setnr} set - {$competitor2} total,33,Bowls,,,True,False
31496,{!setnr} set - 1x2,33,Bowls,,,False,False
31497,{!setnr} set - draw no bet,33,Bowls,,,False,False
31504,{!setnr} set - handicap,33,Bowls,,,True,False
31505,{!setnr} set - total,33,Bowls,,,True,False
7574,Correct score,33,Bowls,1.0,Main,False,False
28172,Set handicap,33,Bowls,1.0,Main,True,False
31495,Total sets,33,Bowls,1.0,Main,True,False
